               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10346,            0.032429,                   0,           0.0033333,            0.041667,           0.0033169,           0.0016584,            0.076892,            0.016992,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.077201,            0.032023,                   0,             0.70811,             0.41667,              0.5902,             0.22946,             0.06376,            0.014265,                   0,            0.068385,           0.0033845,           0.0033845
                   2,            0.069853,            0.029229,                   0,             0.61901,             0.66667,             0.68308,             0.31886,            0.064451,            0.011686,                   0,             0.05195,           0.0049502,           0.0049502
                   3,            0.066815,             0.02527,                   0,               0.388,               0.625,             0.43111,             0.21508,            0.080263,           0.0074065,                   0,            0.035397,           0.0063971,           0.0063971
                   4,            0.061808,            0.022891,                   0,             0.47997,             0.70833,             0.52895,             0.20352,            0.069441,           0.0062113,                   0,            0.018725,           0.0077252,           0.0077252
                   5,            0.061513,            0.024318,                   0,             0.42131,             0.54167,             0.39895,             0.21479,            0.062902,           0.0060706,                   0,             0.00835,             0.00835,             0.00835
                   6,            0.058105,            0.023806,                   0,             0.63869,             0.66667,             0.67065,             0.36998,            0.055086,           0.0054622,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.053522,            0.020766,                   0,             0.59197,             0.66667,             0.64509,               0.379,            0.058282,           0.0056252,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.050697,            0.022572,                   0,             0.79268,             0.79671,             0.83223,             0.60399,            0.050584,           0.0048301,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.046053,            0.020064,                   0,             0.94094,             0.83333,             0.87529,             0.55439,            0.045534,            0.004631,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.043968,            0.020891,                   0,                   1,             0.86981,             0.95985,             0.69504,            0.042728,           0.0046628,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.043032,            0.019735,                   0,             0.75624,             0.64685,             0.83441,              0.4596,            0.048678,           0.0042868,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.039275,            0.016154,                   0,             0.91469,              0.8939,             0.97385,             0.53029,            0.046158,           0.0039988,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.034778,            0.015937,                   0,             0.78275,             0.66667,             0.84252,             0.54328,            0.052338,           0.0039325,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.037515,            0.017594,                   0,             0.90349,               0.875,             0.94679,             0.65859,            0.043253,           0.0036106,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.038233,            0.015879,                   0,              0.9428,               0.875,             0.94316,             0.59434,            0.045762,           0.0041602,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.035592,            0.017045,                   0,             0.91919,             0.94826,             0.94484,             0.66958,            0.042699,           0.0037484,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.032841,            0.013526,                   0,             0.88425,             0.95505,             0.95633,             0.68273,            0.043159,           0.0035956,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.03204,            0.013963,                   0,             0.95648,             0.91587,             0.96793,             0.68138,            0.039101,           0.0034635,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.032779,            0.014978,                   0,             0.95766,              0.9429,             0.97555,              0.7411,            0.040636,           0.0033164,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.031848,             0.01542,                   0,             0.91836,             0.93788,             0.97178,             0.78988,             0.03998,           0.0032866,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.027318,            0.014693,                   0,             0.91994,             0.95754,             0.97751,               0.806,            0.038531,            0.003195,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.030991,            0.013415,                   0,             0.95369,             0.91667,             0.98006,             0.82412,            0.039799,           0.0031431,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.025661,            0.013971,                   0,             0.95429,             0.91667,             0.98103,             0.80429,            0.041807,           0.0031066,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.024447,            0.013293,                   0,             0.95806,             0.95197,             0.98076,             0.83684,             0.03878,           0.0029902,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.025951,            0.014855,                   0,             0.95826,             0.95655,              0.9831,             0.83141,            0.038912,           0.0030427,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.023274,            0.012052,                   0,             0.94582,             0.95833,             0.98033,             0.83531,            0.036788,           0.0031145,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.022321,             0.01197,                   0,             0.94394,             0.95833,             0.97833,             0.82244,            0.035114,           0.0031137,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.023571,            0.014109,                   0,             0.94724,             0.95833,             0.97833,             0.82157,            0.035036,           0.0031803,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.020067,            0.011388,                   0,             0.95251,             0.95833,                0.98,             0.82618,             0.03374,           0.0032229,                   0,             0.00076,             0.00076,             0.00076
