               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11165,            0.032431,                   0,               0.003,                 0.9,           0.0087212,           0.0014718,            0.033593,            0.015707,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.097904,            0.035173,                   0,           0.0033333,                   1,            0.032922,            0.008223,            0.024069,            0.016798,                   0,            0.084679,            0.001679,            0.001679
                   2,            0.083272,            0.032798,                   0,             0.78064,             0.36128,             0.64139,             0.22961,            0.017209,            0.016228,                   0,            0.076536,           0.0025356,           0.0025356
                   3,            0.081488,            0.032586,                   0,             0.67641,             0.62923,             0.70731,             0.32011,             0.01625,            0.014557,                   0,             0.06837,           0.0033701,           0.0033701
                   4,            0.065474,            0.029005,                   0,             0.63636,                 0.8,             0.81117,             0.38451,            0.017747,            0.012393,                   0,            0.060182,           0.0041822,           0.0041822
                   5,            0.071274,            0.028117,                   0,             0.73936,                   1,             0.82218,             0.45815,            0.014289,             0.01148,                   0,            0.051972,           0.0049721,           0.0049721
                   6,            0.060728,            0.027758,                   0,             0.49843,                 0.9,             0.64716,             0.30383,            0.022048,            0.010436,                   0,             0.04374,           0.0057396,           0.0057396
                   7,            0.065194,            0.025802,                   0,             0.49354,                 0.9,             0.71167,              0.3994,            0.017346,           0.0081649,                   0,            0.035485,            0.006485,            0.006485
                   8,            0.062414,            0.025795,                   0,             0.64453,              0.3668,              0.5013,             0.17578,            0.024168,           0.0071671,                   0,            0.027208,            0.007208,            0.007208
                   9,            0.063713,             0.02033,                   0,             0.25936,                 0.9,             0.40762,             0.21924,            0.027878,           0.0054662,                   0,            0.018909,           0.0079088,           0.0079088
                  10,             0.05619,            0.020367,                   0,             0.34793,                 0.9,             0.64537,             0.29282,            0.021455,           0.0052879,                   0,            0.010587,           0.0085872,           0.0085872
                  11,            0.066429,            0.022392,                   0,             0.58032,                 0.9,             0.71667,             0.38951,            0.018652,           0.0052638,                   0,           0.0086388,           0.0086388,           0.0086388
                  12,            0.062759,            0.021487,                   0,             0.50142,             0.80482,             0.66485,              0.3557,            0.020762,           0.0052285,                   0,           0.0086388,           0.0086388,           0.0086388
                  13,            0.060594,            0.018501,                   0,             0.74521,                 0.8,             0.86393,             0.46149,            0.017742,           0.0049782,                   0,            0.008515,            0.008515,            0.008515
                  14,            0.053339,            0.022391,                   0,             0.52296,                   1,             0.72738,             0.41775,            0.026486,           0.0047463,                   0,           0.0083913,           0.0083913,           0.0083913
                  15,            0.065066,             0.02147,                   0,              0.5032,             0.91218,              0.7345,             0.45285,            0.021717,           0.0047345,                   0,           0.0082675,           0.0082675,           0.0082675
                  16,            0.057983,            0.024015,                   0,             0.55473,             0.99685,             0.79543,             0.47581,            0.017749,           0.0046947,                   0,           0.0081437,           0.0081437,           0.0081437
                  17,             0.05058,            0.025178,                   0,             0.82116,                 0.5,             0.72167,             0.44684,            0.017686,           0.0047959,                   0,             0.00802,             0.00802,             0.00802
                  18,            0.049547,            0.019208,                   0,             0.80322,                 0.9,             0.90295,             0.57706,            0.012686,           0.0047356,                   0,           0.0078963,           0.0078963,           0.0078963
                  19,            0.051546,            0.020574,                   0,             0.76761,             0.99158,             0.91056,              0.6057,             0.01088,            0.004943,                   0,           0.0077725,           0.0077725,           0.0077725
                  20,            0.051941,            0.021911,                   0,             0.87664,                 0.8,             0.91028,             0.49501,            0.014136,           0.0050512,                   0,           0.0076488,           0.0076488,           0.0076488
                  21,            0.048171,            0.024732,                   0,             0.81376,              0.8757,             0.91491,             0.52714,            0.011553,           0.0051643,                   0,            0.007525,            0.007525,            0.007525
                  22,            0.052055,            0.022148,                   0,             0.55446,              0.9958,             0.65806,             0.35398,            0.017072,           0.0048541,                   0,           0.0074013,           0.0074013,           0.0074013
                  23,             0.04911,            0.019721,                   0,             0.51261,                   1,             0.54818,             0.32961,            0.017351,           0.0045202,                   0,           0.0072775,           0.0072775,           0.0072775
                  24,            0.046521,            0.017021,                   0,             0.49445,                   1,             0.66768,              0.3187,             0.01643,           0.0038929,                   0,           0.0071538,           0.0071538,           0.0071538
