               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11084,            0.033551,                   0,           0.0033333,                 0.1,           0.0034554,          0.00054643,            0.035046,            0.015553,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.091367,            0.032689,                   0,           0.0033333,                   1,            0.014424,           0.0047404,             0.02808,            0.016135,                   0,            0.086485,           0.0014851,           0.0014851
                   2,            0.091036,            0.033778,                   0,             0.65415,             0.19249,             0.57207,             0.19555,            0.017775,            0.015721,                   0,            0.079254,           0.0022545,           0.0022545
                   3,            0.071028,            0.031443,                   0,             0.70598,                 0.7,             0.79945,             0.37382,            0.019041,            0.013596,                   0,            0.072008,           0.0030079,           0.0030079
                   4,            0.074886,             0.03124,                   0,              0.9131,                 0.7,             0.88929,             0.48125,            0.019144,            0.012312,                   0,            0.064746,           0.0037456,           0.0037456
                   5,            0.068515,            0.028067,                   0,             0.88339,                 0.7,             0.89686,              0.3725,             0.01966,            0.012656,                   0,            0.057467,           0.0044673,           0.0044673
                   6,            0.066793,            0.026531,                   0,             0.76973,                 0.9,             0.77394,             0.30332,            0.026897,            0.012182,                   0,            0.050173,           0.0051733,           0.0051733
                   7,            0.068142,            0.025654,                   0,             0.30637,                 0.9,             0.38063,              0.1852,            0.027431,             0.01205,                   0,            0.042863,           0.0058634,           0.0058634
                   8,            0.070005,            0.024129,                   0,             0.48209,             0.83911,             0.67172,             0.36561,             0.02132,           0.0085073,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.068287,            0.027144,                   0,             0.40899,                 0.9,             0.59905,             0.36777,            0.029385,           0.0069215,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.067655,            0.023846,                   0,             0.61346,                 0.9,             0.84589,             0.53992,            0.021942,           0.0057621,                   0,            0.020839,           0.0078387,           0.0078387
                  11,            0.061627,            0.019335,                   0,             0.47483,                 0.8,             0.75262,              0.3902,            0.024903,           0.0052423,                   0,            0.013465,           0.0084655,           0.0084655
                  12,            0.067231,            0.026992,                   0,              0.8052,                   1,             0.96167,             0.45537,            0.016706,           0.0058591,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.055363,            0.021702,                   0,             0.70854,                   1,             0.81071,              0.3638,            0.020591,           0.0051222,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.061797,             0.02402,                   0,             0.61497,                   1,             0.74614,             0.39696,            0.015542,           0.0057509,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.053931,            0.021186,                   0,             0.66186,                   1,             0.89808,             0.53129,            0.014357,           0.0057319,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.051563,            0.020374,                   0,             0.51206,               0.841,             0.62467,             0.39221,            0.020532,           0.0055939,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.057739,            0.021736,                   0,             0.63936,                 0.9,             0.83389,              0.4932,            0.018715,           0.0050211,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.052058,            0.021097,                   0,             0.89971,                 0.9,             0.96192,              0.5263,            0.014635,            0.005043,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.052532,            0.020445,                   0,             0.70795,                   1,             0.76538,             0.34675,            0.016069,           0.0048459,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.049272,            0.016553,                   0,             0.88057,                   1,             0.94045,             0.47862,            0.015984,           0.0046029,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.055518,            0.019165,                   0,              0.6226,                   1,             0.71508,             0.35977,              0.0125,           0.0042727,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.048001,            0.020506,                   0,             0.50012,                   1,             0.72334,              0.2947,            0.020019,            0.004392,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.054222,            0.019262,                   0,             0.62453,                   1,             0.79024,             0.50631,            0.012426,           0.0043111,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.040993,            0.018211,                   0,             0.99041,                   1,               0.995,             0.60524,            0.013406,           0.0040865,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03937,            0.019558,                   0,              0.5085,             0.93231,             0.64692,             0.48563,            0.015893,           0.0046303,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.044349,            0.019957,                   0,                0.49,                 0.9,             0.69262,             0.44438,            0.017101,           0.0044279,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042274,            0.016195,                   0,                   1,             0.99512,               0.995,             0.70319,           0.0082329,           0.0043277,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041292,            0.019486,                   0,             0.55058,             0.98095,             0.76306,              0.5496,            0.014635,            0.004169,                   0,            0.007327,            0.007327,            0.007327
