               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11084,            0.033551,                   0,           0.0033333,                 0.1,           0.0034554,          0.00054643,            0.035046,            0.015553,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.091448,            0.032679,                   0,           0.0033333,                   1,            0.015759,           0.0047774,            0.028215,            0.016127,                   0,             0.08645,           0.0014505,           0.0014505
                   2,             0.09124,            0.033781,                   0,             0.75891,             0.31782,             0.53381,             0.15581,            0.017459,            0.015886,                   0,            0.079148,           0.0021482,           0.0021482
                   3,            0.071225,            0.031587,                   0,             0.64558,                 0.7,              0.7915,             0.33336,            0.020386,            0.013519,                   0,            0.071793,           0.0027931,           0.0027931
                   4,             0.07406,            0.031347,                   0,             0.57355,                 0.7,               0.674,             0.32574,            0.017307,            0.012609,                   0,            0.064385,           0.0033852,           0.0033852
                   5,             0.06615,            0.028367,                   0,             0.73039,             0.81371,             0.88263,             0.43309,            0.016706,            0.012389,                   0,            0.056925,           0.0039245,           0.0039245
                   6,            0.063387,            0.027109,                   0,             0.43615,                 0.9,             0.50839,             0.26523,            0.025148,            0.012134,                   0,            0.049411,            0.004411,            0.004411
                   7,            0.066538,            0.026329,                   0,             0.51978,                 0.9,             0.53844,             0.26599,            0.026041,             0.01177,                   0,            0.041845,           0.0048447,           0.0048447
                   8,            0.066685,             0.02484,                   0,             0.96375,                 0.8,             0.92848,             0.57045,            0.014161,            0.008878,                   0,            0.034226,           0.0052256,           0.0052256
                   9,            0.069133,            0.027889,                   0,             0.29469,                 0.7,             0.32444,              0.1529,            0.033183,           0.0079367,                   0,            0.026554,           0.0055537,           0.0055537
                  10,            0.067697,            0.024611,                   0,             0.52414,                 0.8,             0.72064,             0.37025,            0.020915,           0.0063269,                   0,            0.018829,            0.005829,            0.005829
                  11,            0.058256,            0.019994,                   0,             0.52511,             0.77532,             0.66865,              0.3193,            0.024293,           0.0058119,                   0,            0.011052,           0.0060515,           0.0060515
                  12,            0.062205,            0.029267,                   0,                0.67,                 0.9,             0.85969,             0.45515,            0.013318,           0.0066552,                   0,             0.00604,             0.00604,             0.00604
                  13,            0.050741,            0.023405,                   0,             0.72701,                 0.5,             0.71239,             0.36054,            0.017888,            0.005595,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.062377,            0.023457,                   0,             0.90851,                 0.6,             0.88023,             0.43273,            0.019863,           0.0049095,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.053235,             0.02098,                   0,             0.63898,                 0.9,             0.78729,             0.42467,            0.018792,           0.0049651,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.054746,            0.020642,                   0,             0.94205,                   1,               0.995,             0.51862,            0.011994,           0.0052521,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.057682,            0.022325,                   0,             0.98083,                   1,               0.995,             0.47383,            0.014654,           0.0049095,                   0,             0.00472,             0.00472,             0.00472
                  18,             0.05019,            0.022549,                   0,             0.73679,                 0.9,             0.93714,             0.54153,            0.014538,           0.0047339,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.046775,            0.022066,                   0,             0.66217,                   1,             0.88706,             0.47821,            0.016451,           0.0047921,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.042616,            0.017614,                   0,             0.97207,                   1,               0.995,             0.65458,            0.011259,           0.0047234,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.044471,            0.020718,                   0,             0.75815,                   1,             0.90269,             0.47773,            0.011631,           0.0046272,                   0,              0.0034,              0.0034,              0.0034
                  22,             0.04227,            0.020521,                   0,             0.66406,             0.98904,              0.7575,             0.38215,            0.012829,           0.0044699,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.043976,            0.020873,                   0,               0.992,                   1,               0.995,             0.59505,           0.0083205,           0.0041685,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.035961,            0.018939,                   0,             0.99156,                   1,               0.995,             0.67663,            0.010083,           0.0041149,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.035436,             0.02053,                   0,             0.99219,                   1,               0.995,             0.64581,           0.0093949,           0.0040103,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.037711,            0.021089,                   0,              0.9923,                   1,               0.995,             0.72298,            0.007386,           0.0039073,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.033672,              0.0169,                   0,             0.99177,                   1,               0.995,             0.75725,           0.0070664,           0.0039368,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.03648,             0.02043,                   0,             0.99152,                   1,               0.995,             0.77215,           0.0078872,           0.0038884,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.037333,            0.019712,                   0,             0.99121,                   1,               0.995,             0.77642,           0.0068951,           0.0038042,                   0,             0.00076,             0.00076,             0.00076
