               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12077,            0.035074,                   0,            0.012286,                 0.2,            0.041081,           0.0059583,            0.028388,            0.022934,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.11043,             0.03551,                   0,             0.21689,                 0.1,             0.13829,            0.039024,            0.028026,            0.019282,                   0,            0.084694,           0.0016944,           0.0016944
                   2,            0.094519,            0.032896,                   0,             0.29022,             0.24827,             0.23868,            0.075567,            0.026184,            0.016026,                   0,            0.076583,           0.0025828,           0.0025828
                   3,            0.089614,            0.032488,                   0,             0.36938,                 0.2,             0.37278,             0.14399,            0.019847,            0.015237,                   0,            0.068465,           0.0034654,           0.0034654
                   4,            0.071762,            0.030388,                   0,             0.42227,                 0.4,             0.47005,             0.19258,            0.019562,            0.013702,                   0,            0.060342,           0.0043419,           0.0043419
                   5,            0.078481,            0.030249,                   0,             0.69085,              0.8943,             0.78962,             0.34304,            0.016528,            0.012136,                   0,            0.052213,           0.0052126,           0.0052126
                   6,            0.070214,             0.02846,                   0,             0.50787,             0.82674,             0.70192,             0.28912,            0.016694,            0.012322,                   0,            0.044077,           0.0060772,           0.0060772
                   7,            0.070349,            0.027025,                   0,             0.46546,                 0.9,             0.59281,             0.22438,            0.018943,            0.011991,                   0,            0.035936,            0.006936,            0.006936
                   8,            0.067104,            0.027432,                   0,             0.40914,                   1,             0.58667,             0.26416,            0.024642,            0.010724,                   0,            0.027789,           0.0077888,           0.0077888
                   9,            0.068843,            0.021584,                   0,              0.4471,                 0.7,             0.47867,             0.17693,            0.024367,           0.0082235,                   0,            0.019636,           0.0086357,           0.0086357
                  10,            0.059962,            0.022589,                   0,             0.72824,             0.53906,             0.73968,             0.30045,            0.021905,           0.0074351,                   0,            0.011477,           0.0094766,           0.0094766
                  11,            0.068719,            0.024597,                   0,             0.58356,                 0.9,             0.67268,             0.26981,            0.022863,           0.0070062,                   0,            0.009637,            0.009637,            0.009637
                  12,            0.069139,            0.021943,                   0,             0.42133,                 0.8,             0.43651,             0.15433,            0.023663,            0.006762,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.064966,            0.019584,                   0,             0.81141,                 0.6,             0.76767,             0.32954,            0.025325,           0.0054488,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.058617,            0.024402,                   0,              0.9821,                 0.9,             0.97833,             0.51846,            0.016687,           0.0056696,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.064207,            0.024037,                   0,              0.4478,                   1,              0.5339,              0.2288,            0.021746,           0.0063037,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.060304,            0.025448,                   0,             0.89581,                   1,             0.98591,             0.47439,            0.014044,           0.0065205,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.056071,            0.025871,                   0,             0.47795,                 0.7,             0.50458,             0.20874,            0.024226,           0.0074592,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.051644,            0.020431,                   0,              0.7937,                 0.9,             0.88172,             0.42997,             0.01532,           0.0061616,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.051414,            0.023054,                   0,             0.80201,                   1,             0.91405,              0.3323,              0.0163,           0.0062286,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.057434,            0.023495,                   0,                   1,             0.98278,               0.995,             0.56048,            0.013075,           0.0065986,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.053878,            0.026575,                   0,             0.98787,                   1,               0.995,             0.51827,            0.013373,           0.0054795,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.057803,            0.023355,                   0,             0.66465,             0.99151,             0.76167,             0.35189,            0.014797,           0.0056111,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.053166,            0.021968,                   0,             0.63267,                 0.9,             0.87374,             0.43442,            0.015586,           0.0051255,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.047815,             0.01922,                   0,              0.9318,                   1,               0.995,             0.46714,             0.01183,           0.0048962,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.04699,             0.02272,                   0,             0.99885,                   1,               0.995,             0.55235,            0.012572,           0.0048733,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.047905,            0.021101,                   0,             0.59202,                 0.9,             0.70926,             0.46514,            0.013061,            0.004945,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.045263,             0.01626,                   0,             0.98088,                   1,               0.995,             0.40686,            0.013001,           0.0047906,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.053663,            0.019243,                   0,             0.54832,                   1,             0.63389,             0.41284,            0.013747,            0.004873,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.049645,            0.022324,                   0,             0.89844,               0.886,             0.93833,             0.56728,           0.0098403,            0.005309,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.045371,            0.016453,                   0,             0.98277,                   1,               0.995,             0.67115,            0.010058,           0.0047898,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.049727,            0.017014,                   0,             0.61506,                 0.9,             0.72478,             0.40325,            0.012565,            0.004591,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.044107,            0.017798,                   0,             0.99508,                   1,               0.995,              0.6583,            0.008926,            0.004241,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.043265,            0.017706,                   0,             0.99204,                   1,               0.995,             0.74418,           0.0082241,           0.0043266,                   0,            0.008944,            0.008944,            0.008944
                  34,             0.04256,            0.018742,                   0,             0.66004,                   1,              0.9309,              0.5677,             0.01143,           0.0044929,                   0,            0.008911,            0.008911,            0.008911
                  35,             0.04519,            0.016773,                   0,                   1,             0.99858,               0.995,             0.56533,           0.0094488,           0.0041568,                   0,            0.008878,            0.008878,            0.008878
                  36,              0.0454,            0.017266,                   0,             0.89553,                   1,             0.97682,             0.66592,           0.0086491,           0.0045009,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.044426,            0.017315,                   0,             0.82563,                 0.9,             0.95833,             0.71365,           0.0093384,           0.0049687,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.043633,            0.017085,                   0,             0.82996,                   1,             0.97682,              0.7422,            0.007994,           0.0047112,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.04628,            0.016126,                   0,             0.97846,                   1,               0.995,             0.53218,           0.0094992,           0.0041131,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.037794,            0.016755,                   0,             0.98499,                   1,               0.995,             0.72322,           0.0094137,            0.004213,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.046984,            0.018276,                   0,              0.9948,                   1,               0.995,             0.47378,            0.011548,           0.0038931,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.041716,             0.01624,                   0,             0.99639,                   1,               0.995,             0.73905,            0.006836,           0.0037177,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.042813,            0.019198,                   0,             0.99252,                   1,               0.995,             0.58881,            0.010257,           0.0039241,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.04429,            0.016043,                   0,             0.99026,                   1,               0.995,             0.57938,            0.012247,           0.0037273,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.040301,            0.016711,                   0,             0.98552,                   1,               0.995,             0.58588,           0.0088319,           0.0041282,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.040765,            0.017397,                   0,             0.98894,                   1,               0.995,             0.68211,           0.0070037,            0.004262,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.038042,            0.015576,                   0,                   1,              0.9959,               0.995,             0.72096,           0.0099849,           0.0041343,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.038137,            0.016987,                   0,             0.99846,                   1,               0.995,             0.72829,            0.007251,           0.0040354,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.039437,            0.017503,                   0,             0.99953,                   1,               0.995,             0.65497,            0.011183,           0.0041061,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.038294,            0.018208,                   0,             0.99658,                   1,               0.995,             0.69745,           0.0079622,           0.0038901,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.03403,            0.016179,                   0,             0.99652,                   1,               0.995,             0.61702,           0.0099118,           0.0038916,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.035181,            0.015904,                   0,             0.99925,                   1,               0.995,             0.75984,           0.0073203,           0.0038301,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.040199,            0.015824,                   0,             0.99584,                   1,               0.995,             0.59012,            0.011911,           0.0040268,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.039793,            0.015542,                   0,             0.99403,                   1,               0.995,              0.7623,             0.00881,           0.0040052,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.041473,            0.014905,                   0,             0.99256,                   1,               0.995,             0.62869,           0.0080725,           0.0036188,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.038936,            0.018431,                   0,             0.99574,                   1,               0.995,             0.76763,            0.009012,           0.0034704,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.038223,            0.017582,                   0,             0.99754,                   1,               0.995,              0.7349,           0.0092342,            0.003597,                   0,            0.008152,            0.008152,            0.008152
