               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077407,            0.072362,                   0,          0.00083333,                 0.2,          0.00069828,          6.9828e-05,            0.026913,            0.035544,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.070345,            0.052688,                   0,               0.003,                 0.9,            0.053079,            0.010672,            0.019964,            0.020449,                   0,            0.068413,           0.0034134,           0.0034134
                   2,            0.061876,            0.038048,                   0,           0.0033333,                   1,             0.20272,            0.042497,            0.019148,            0.011358,                   0,            0.052038,           0.0050376,           0.0050376
                   3,            0.052876,            0.033714,                   0,             0.13628,                   1,             0.67499,             0.16183,            0.017938,            0.008332,                   0,            0.035573,           0.0065728,           0.0065728
                   4,            0.044725,              0.0244,                   0,           0.0033333,                   1,            0.028463,           0.0078389,            0.032692,           0.0065336,                   0,            0.019019,           0.0080189,           0.0080189
                   5,            0.056099,            0.024242,                   0,             0.17444,                 0.4,              0.2259,            0.052366,            0.021355,            0.006521,                   0,           0.0087625,           0.0087625,           0.0087625
                   6,            0.046993,            0.021431,                   0,             0.18814,                 0.7,             0.37392,            0.064526,            0.036131,             0.00418,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,              0.0577,            0.021855,                   0,            0.088195,                 0.9,             0.30651,            0.052994,            0.029613,           0.0044353,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.046677,            0.018477,                   0,             0.04865,                 0.9,              0.1525,            0.038882,            0.029498,           0.0041461,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.049339,             0.02192,                   0,           0.0045579,                   1,            0.084053,            0.026183,            0.027506,           0.0044684,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.047191,            0.024784,                   0,             0.12967,                 0.1,             0.18781,            0.067319,            0.022736,           0.0049245,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.039716,            0.017064,                   0,             0.29055,                 0.3,             0.24552,            0.062998,            0.026666,           0.0041857,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.045765,            0.018888,                   0,             0.31548,                 0.3,             0.41134,             0.14968,            0.017746,           0.0047147,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.045823,            0.024656,                   0,              0.6991,             0.46811,             0.60916,             0.25202,            0.014047,           0.0049608,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.045882,            0.023243,                   0,             0.48348,                 0.6,             0.53312,             0.22056,            0.015995,           0.0047176,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.038621,             0.02074,                   0,             0.80922,                 0.9,             0.92056,             0.43639,            0.013128,           0.0053062,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.041327,            0.021452,                   0,             0.78734,             0.74302,                0.85,             0.35912,             0.01534,           0.0049865,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,              0.0341,            0.019201,                   0,             0.73359,                 0.9,             0.91762,             0.42502,            0.014216,           0.0049765,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.035271,             0.02117,                   0,             0.64105,                 0.8,             0.82679,             0.28453,            0.016518,           0.0045795,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.034358,             0.01725,                   0,             0.72746,                   1,             0.87833,             0.33357,            0.015616,           0.0040178,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.032518,            0.015887,                   0,             0.82313,             0.93268,             0.92833,             0.38809,            0.013171,           0.0042045,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.029347,              0.0182,                   0,             0.82046,                 0.9,             0.94192,              0.3225,            0.015847,           0.0039463,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.038185,            0.017915,                   0,             0.90131,                   1,             0.94955,             0.47043,            0.011833,           0.0042481,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.029678,            0.019094,                   0,             0.77259,                 0.9,             0.95374,             0.43923,            0.010813,           0.0045247,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.032749,            0.017651,                   0,             0.75151,                   1,               0.995,             0.40161,             0.01277,           0.0046089,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.030369,            0.018897,                   0,              0.7584,                   1,             0.96833,             0.44004,             0.01104,           0.0047269,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.027347,            0.016224,                   0,             0.62531,                 0.9,             0.80707,             0.25462,            0.014789,            0.004441,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.031546,            0.017122,                   0,             0.66662,                   1,             0.86069,             0.41325,            0.011648,           0.0044258,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.030155,            0.018631,                   0,             0.72422,                   1,              0.9044,             0.44234,            0.010791,           0.0043886,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.029776,             0.01812,                   0,             0.71075,                   1,             0.92833,             0.47306,            0.011119,           0.0043895,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.027943,             0.01633,                   0,             0.65678,                   1,             0.94045,             0.46149,            0.010058,           0.0044954,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.025787,            0.018166,                   0,             0.65777,                   1,             0.89806,             0.45776,           0.0096568,           0.0046561,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.023328,            0.016617,                   0,              0.6601,             0.97241,             0.92556,               0.456,           0.0089371,           0.0047786,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,             0.02602,            0.016434,                   0,             0.69954,                   1,             0.94192,              0.4862,           0.0088258,           0.0047407,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.031436,            0.020386,                   0,             0.69574,                   1,             0.95374,             0.48021,            0.008447,            0.004714,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.027483,            0.017716,                   0,             0.68651,                   1,             0.97192,              0.4948,           0.0086127,           0.0046268,                   0,            0.001585,            0.001585,            0.001585
                  36,             0.03069,            0.019508,                   0,             0.87306,                   1,             0.98591,             0.52781,           0.0083029,           0.0044751,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.024471,            0.019429,                   0,             0.85696,                 0.9,             0.97833,             0.52162,            0.008582,           0.0043766,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.024583,            0.017174,                   0,             0.90186,                 0.9,             0.98591,             0.51128,           0.0085957,           0.0043156,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.026804,            0.017507,                   0,             0.92698,                 0.9,             0.98591,             0.51111,           0.0090937,           0.0042388,                   0,            0.000595,            0.000595,            0.000595
