               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11448,            0.040949,                   0,           0.0033333,                 0.1,           0.0038917,           0.0027242,            0.038255,            0.018986,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.10712,             0.03756,                   0,            0.062072,                 0.1,             0.04478,            0.015515,            0.029698,            0.016809,                   0,            0.084694,           0.0016944,           0.0016944
                   2,            0.095203,            0.031902,                   0,             0.13227,                 0.1,             0.17537,            0.092196,            0.023729,            0.015015,                   0,            0.076583,           0.0025828,           0.0025828
                   3,            0.087692,            0.031943,                   0,             0.21365,                 0.9,             0.31248,             0.12412,             0.02274,            0.013317,                   0,            0.068465,           0.0034654,           0.0034654
                   4,            0.072169,            0.029349,                   0,             0.28303,                 0.8,             0.47782,             0.24648,            0.017613,            0.013143,                   0,            0.060342,           0.0043419,           0.0043419
                   5,             0.07395,            0.030184,                   0,             0.84743,             0.55919,             0.85067,             0.32699,            0.020436,             0.01128,                   0,            0.052213,           0.0052126,           0.0052126
                   6,            0.065564,            0.029283,                   0,             0.87789,             0.72084,             0.87643,             0.28916,            0.019354,            0.012739,                   0,            0.044077,           0.0060772,           0.0060772
                   7,            0.069547,            0.027057,                   0,             0.77512,             0.69043,             0.74793,              0.2391,            0.024196,            0.014319,                   0,            0.035936,            0.006936,            0.006936
                   8,            0.069096,            0.027051,                   0,             0.18283,                 0.9,              0.2184,            0.083095,            0.027483,            0.014949,                   0,            0.027789,           0.0077888,           0.0077888
                   9,             0.07103,            0.020768,                   0,             0.51534,                 0.6,             0.42941,             0.16878,            0.029494,            0.009316,                   0,            0.019636,           0.0086357,           0.0086357
                  10,            0.060373,            0.021443,                   0,             0.25788,                 0.5,             0.35478,             0.20623,             0.02237,            0.010483,                   0,            0.011477,           0.0094766,           0.0094766
                  11,            0.070638,            0.024027,                   0,             0.57681,             0.54783,             0.62381,              0.3159,            0.023238,           0.0090787,                   0,            0.009637,            0.009637,            0.009637
                  12,            0.066888,            0.023135,                   0,             0.72002,                 0.4,             0.60677,             0.36099,            0.022281,           0.0083218,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.06069,            0.020476,                   0,             0.73197,                 0.5,             0.62384,             0.34946,            0.021665,           0.0065825,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.058637,            0.024057,                   0,             0.68589,             0.87499,             0.78026,               0.431,             0.01618,           0.0066094,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.069517,            0.023583,                   0,             0.39232,                 0.8,             0.53425,             0.33878,             0.02193,           0.0067134,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.062604,            0.025764,                   0,             0.55628,                 0.6,             0.60956,             0.31192,            0.018502,           0.0060459,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.058944,            0.025832,                   0,             0.52481,             0.77442,             0.65364,             0.26285,            0.018306,           0.0063081,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.059318,            0.019735,                   0,             0.44927,             0.81651,             0.62751,             0.30441,             0.01764,           0.0058311,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.058408,            0.022642,                   0,             0.40325,             0.81137,             0.59976,             0.22739,            0.021304,           0.0063783,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.058867,            0.024142,                   0,             0.88447,             0.76816,             0.89323,             0.45356,            0.013691,            0.005973,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.054721,            0.027325,                   0,             0.88788,                 0.9,             0.95192,             0.53162,             0.01243,           0.0063655,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.054933,            0.024856,                   0,             0.74921,                 0.9,             0.87476,             0.41527,            0.014612,           0.0062832,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.054177,            0.021892,                   0,             0.43943,                   1,             0.57369,             0.19821,            0.016597,           0.0068257,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.050756,            0.019407,                   0,             0.89842,              0.8858,             0.87203,             0.41799,            0.013819,           0.0053925,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.051375,            0.022207,                   0,             0.30459,              0.7888,             0.31653,              0.1224,            0.023483,            0.007623,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.049463,            0.022453,                   0,             0.71265,                   1,              0.8569,             0.48078,            0.012369,           0.0062734,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.041144,            0.018455,                   0,             0.70498,                   1,             0.72125,              0.3092,             0.01648,           0.0057329,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.050334,            0.020659,                   0,             0.97824,                   1,               0.995,             0.51542,            0.012357,           0.0051002,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.050658,            0.021935,                   0,             0.97181,                   1,               0.995,             0.45273,            0.013062,           0.0046968,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.049253,            0.016459,                   0,              0.9881,                   1,               0.995,             0.47992,            0.012105,           0.0045837,                   0,            0.009043,            0.009043,            0.009043
